symbol,name,exchange
KMI,Kinder Morgan Inc,New York Stock Exchange
GE,General Electric Co,New York Stock Exchange
BAC,Bank of America Corp,New York Stock Exchange
HPQ,HP Inc,New York Stock Exchange
CX,Cemex S.A.B. de C.V. Sponsored ADR,New York Stock Exchange
F,Ford Motor Co,New York Stock Exchange
SNAP,Snap Inc,New York Stock Exchange
WFC,Wells Fargo & Co,New York Stock Exchange
AIG,American International Group Inc,New York Stock Exchange
T,AT&T Inc,New York Stock Exchange
C,Citigroup Inc,New York Stock Exchange
VALE,VALE S.A. American Depositary Shares Each Representing one,New York Stock Exchange
MS,Morgan Stanley,New York Stock Exchange
JPM,JPMorgan Chase & Co,New York Stock Exchange
ORCL,Oracle Corp,New York Stock Exchange
NKE,Nike Inc,New York Stock Exchange
PG,Procter & Gamble Co,New York Stock Exchange
HK,Halcon Resources Corporation,New York Stock Exchange
BBD,Banco Bradesco Sa American Depositary Shares,New York Stock Exchange
PFE,Pfizer Inc,New York Stock Exchange
NOK,Nokia Corporation Sponsored American Depositary Shares,New York Stock Exchange
TWTR,Twitter Inc,New York Stock Exchange
WFT,Weatherford International plc (Ireland),New York Stock Exchange
XOM,Exxon Mobil Corp,New York Stock Exchange
VIPS,Vipshop Holdings Ltd,New York Stock Exchange
AXP,American Express Co,New York Stock Exchange
BMY,Bristol-Myers Squibb Co,New York Stock Exchange
V,Visa Inc,New York Stock Exchange
WP,Worldpay Inc. Class A,New York Stock Exchange
KEY,KeyCorp,New York Stock Exchange
RF,Regions Financial Corp,New York Stock Exchange
KR,Kroger Co,New York Stock Exchange
HAL,Halliburton Co,New York Stock Exchange
BABA,Alibaba Group Holding Ltd,New York Stock Exchange
MRO,Marathon Oil Corp,New York Stock Exchange
GM,General Motors Co,New York Stock Exchange
FCX,Freeport-McMoRan Inc,New York Stock Exchange
CRM,Salesforce.Com Inc,New York Stock Exchange
SQ,Square Inc,New York Stock Exchange
P,Pandora Media Inc.,New York Stock Exchange
NUE,Nucor Corp,New York Stock Exchange
SWN,Southwestern Energy Co,New York Stock Exchange
LOW,Lowe`s Companies Inc,New York Stock Exchange
RAD,Rite Aid Corp,New York Stock Exchange
SLB,Schlumberger NV,New York Stock Exchange
ABBV,Abbvie Inc,New York Stock Exchange
GIS,General Mills Inc,New York Stock Exchange
VZ,Verizon Communications Inc,New York Stock Exchange
XRX,Xerox Holdings Corp,New York Stock Exchange
X,United States Steel Corp,New York Stock Exchange
DVN,Devon Energy Corp,New York Stock Exchange
IBN,ICICI Bank Limited,New York Stock Exchange
MPC,Marathon Petroleum Corp,New York Stock Exchange
PM,Philip Morris International Inc,New York Stock Exchange
MSCI,MSCI Inc,New York Stock Exchange
RDN,Radian Group Inc,New York Stock Exchange
KO,Coca-Cola Co,New York Stock Exchange
SRC,Spirit Realty Capital Inc,New York Stock Exchange
NFX,Newfield Exploration Company,New York Stock Exchange
COP,ConocoPhillips,New York Stock Exchange
CHK,Chesapeake Energy Corporation,New York Stock Exchange
DIS,Walt Disney Co,New York Stock Exchange
LEN,Lennar Corp,New York Stock Exchange
CVX,Chevron Corp,New York Stock Exchange
AUY,Yamana Gold Inc,New York Stock Exchange
WMT,Walmart Inc,New York Stock Exchange
CLF,Cleveland-Cliffs Inc,New York Stock Exchange
MRK,Merck & Co Inc,New York Stock Exchange
RSPP,RSP Permian Inc.,New York Stock Exchange
MGM,MGM Resorts International,New York Stock Exchange
GFI,Gold Fields Limited American Depositary Shares,New York Stock Exchange
KGC,Kinross Gold Corp,New York Stock Exchange
SCHW,Charles Schwab Corp,New York Stock Exchange
NBR,Nabors Industries Ltd,New York Stock Exchange
JNJ,Johnson & Johnson,New York Stock Exchange
BSX,Boston Scientific Corp,New York Stock Exchange
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),New York Stock Exchange
BK,Bank of New York Mellon Corp,New York Stock Exchange
HMY,Harmony Gold Mining Company Limited,New York Stock Exchange
APA,Apache Corp,New York Stock Exchange
HOME,At Home Group Inc,New York Stock Exchange
KOS,Kosmos Energy Ltd,New York Stock Exchange
DAL,Delta Air Lines Inc,New York Stock Exchange
INFY,Infosys Limited American Depositary Shares,New York Stock Exchange
CCL,Carnival Corp,New York Stock Exchange
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,New York Stock Exchange
PBR,Petroleo Brasileiro S.A.- Petrobras,New York Stock Exchange
LPI,Laredo Petroleum Inc,New York Stock Exchange
ABT,Abbott Laboratories,New York Stock Exchange
USB,U.S. Bancorp,New York Stock Exchange
BA,Boeing Co,New York Stock Exchange
GGB,Gerdau S.A.,New York Stock Exchange
DB,Deutsche Bank AG,New York Stock Exchange
KNX,Knight-Swift Transportation Holdings Inc,New York Stock Exchange
KBH,KB Home,New York Stock Exchange
PGR,Progressive Corp,New York Stock Exchange
MO,Altria Group Inc,New York Stock Exchange
MDT,Medtronic PLC,New York Stock Exchange
RIG,Transocean Ltd,New York Stock Exchange
BCS,Barclays PLC,New York Stock Exchange
EOG,EOG Resources Inc,New York Stock Exchange
HPE,Hewlett Packard Enterprise Co,New York Stock Exchange
OKE,ONEOK Inc,New York Stock Exchange
CVS,CVS Health Corp,New York Stock Exchange
HES,Hess Corp,New York Stock Exchange
GDDY,GoDaddy Inc,New York Stock Exchange
BX,Blackstone Group Inc,New York Stock Exchange
NLSN,Nielsen Holdings PLC,New York Stock Exchange
TS,Tenaris S.A. American Depositary Shares,New York Stock Exchange
BOX,Box Inc,New York Stock Exchange
OXY,Occidental Petroleum Corp,New York Stock Exchange
CVE,Cenovus Energy Inc,New York Stock Exchange
SYF,Synchrony Financial,New York Stock Exchange
MTG,MGIC Investment Corp,New York Stock Exchange
LUV,Southwest Airlines Co,New York Stock Exchange
FTI,TechnipFMC PLC,New York Stock Exchange
AA,Alcoa Corp,New York Stock Exchange
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),New York Stock Exchange
EQR,Equity Residential,New York Stock Exchange
TAL,TAL Education Group,New York Stock Exchange
UNH,UnitedHealth Group Inc,New York Stock Exchange
GES,Guess Inc,New York Stock Exchange
CNC,Centene Corp,New York Stock Exchange
CLDR,Cloudera Inc,New York Stock Exchange
RES,RPC Inc,New York Stock Exchange
CI,Cigna Corp,New York Stock Exchange
WMB,Williams Companies Inc,New York Stock Exchange
HBI,HanesBrands Inc,New York Stock Exchange
XL,XL Group Ltd.,New York Stock Exchange
D,Dominion Energy Inc,New York Stock Exchange
CHS,Chico's FAS Inc,New York Stock Exchange
CFG,Citizens Financial Group Inc,New York Stock Exchange
SU,Suncor Energy Inc,New York Stock Exchange
MMM,3M Co,New York Stock Exchange
JBL,Jabil Inc,New York Stock Exchange
ACN,Accenture PLC,New York Stock Exchange
NTR,Nutrien Ltd,New York Stock Exchange
PAH,Platform Specialty Products Corporation,New York Stock Exchange
BRFS,BRF S.A.,New York Stock Exchange
LVS,Las Vegas Sands Corp,New York Stock Exchange
EGO,Eldorado Gold Corp,New York Stock Exchange
GSK,GlaxoSmithKline PLC,New York Stock Exchange
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,New York Stock Exchange
PAA,Plains All American Pipeline LP,New York Stock Exchange
VLO,Valero Energy Corp,New York Stock Exchange
IMAX,Imax Corp,New York Stock Exchange
FNB,F.N.B. Corp,New York Stock Exchange
HD,Home Depot Inc,New York Stock Exchange
AR,Antero Resources Corp,New York Stock Exchange
ARNC,Arconic Corp (PITTSBURGH),New York Stock Exchange
VOYA,Voya Financial Inc,New York Stock Exchange
SM,SM Energy Co,New York Stock Exchange
DHI,D.R. Horton Inc,New York Stock Exchange
HRB,H & R Block Inc,New York Stock Exchange
BTU,Peabody Energy Corp,New York Stock Exchange
JBGS,JBG SMITH Properties,New York Stock Exchange
IPG,Interpublic Group of Companies Inc,New York Stock Exchange
DE,Deere & Co,New York Stock Exchange
COG,Cabot Oil & Gas Corp,New York Stock Exchange
IBM,International Business Machines Corp,New York Stock Exchange
WTW,Weight Watchers International Inc,New York Stock Exchange
NYT,New York Times Co,New York Stock Exchange
OLN,Olin Corp,New York Stock Exchange
JCI,Johnson Controls International PLC,New York Stock Exchange
VICI,VICI Properties Inc,New York Stock Exchange
VST,Vistra Corp,New York Stock Exchange
EPD,Enterprise Products Partners LP,New York Stock Exchange
KMB,Kimberly-Clark Corp,New York Stock Exchange
AEP,American Electric Power Company Inc,New York Stock Exchange
IT,Gartner Inc,New York Stock Exchange
CAT,Caterpillar Inc,New York Stock Exchange
AU,AngloGold Ashanti Limited,New York Stock Exchange
KKR,KKR & Co Inc,New York Stock Exchange
CMC,Commercial Metals Co,New York Stock Exchange
NRG,NRG Energy Inc,New York Stock Exchange
CPB,Campbell Soup Co,New York Stock Exchange
ATHM,Autohome Inc,New York Stock Exchange
WRB,W. R. Berkley Corp,New York Stock Exchange
TGT,Target Corp,New York Stock Exchange
TV,Grupo Televisa S.A.,New York Stock Exchange
GLW,Corning Inc,New York Stock Exchange
MAS,Masco Corp,New York Stock Exchange
DOV,Dover Corp,New York Stock Exchange
HRL,Hormel Foods Corp,New York Stock Exchange
TECK,Teck Resources Ltd,New York Stock Exchange
AES,AES Corp,New York Stock Exchange
PPL,PPL Corp,New York Stock Exchange
SEE,Sealed Air Corp,New York Stock Exchange
NLY,Annaly Capital Management Inc,New York Stock Exchange
FRC,First Republic Bank,New York Stock Exchange
K,Kellogg Co,New York Stock Exchange
M,Macy's Inc,New York Stock Exchange
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,New York Stock Exchange
STL,Sterling Bancorp,New York Stock Exchange
NYCB,New York Community Bancorp Inc,New York Stock Exchange
TRQ,Turquoise Hill Resources Ltd,New York Stock Exchange
FDC,First Data Corporation Class A,New York Stock Exchange
BAH,Booz Allen Hamilton Holding Corp,New York Stock Exchange
ARI,Apollo Commercial Real Estate Finance Inc,New York Stock Exchange
MET,MetLife Inc,New York Stock Exchange
AFL,Aflac Inc,New York Stock Exchange
TPR,Tapestry Inc,New York Stock Exchange
WPM,Wheaton Precious Metals Corp,New York Stock Exchange
WLL,Whiting Petroleum Corp,New York Stock Exchange
PCG,PG&E Corp,New York Stock Exchange
CLR,Continental Resources Inc,New York Stock Exchange
HL,Hecla Mining Co,New York Stock Exchange
UAA,Under Armour Inc,New York Stock Exchange
CAG,Conagra Brands Inc,New York Stock Exchange
SO,Southern Co,New York Stock Exchange
GKOS,Glaukos Corp,New York Stock Exchange
CCI,Crown Castle International Corp,New York Stock Exchange
ZTO,ZTO Express (Cayman) Inc,New York Stock Exchange
GS,Goldman Sachs Group Inc,New York Stock Exchange
ADT,ADT Inc,New York Stock Exchange
EMR,Emerson Electric Co,New York Stock Exchange
CNP,CenterPoint Energy Inc,New York Stock Exchange
COTY,Coty Inc,New York Stock Exchange
MA,Mastercard Inc,New York Stock Exchange
AWI,Armstrong World Industries Inc,New York Stock Exchange
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,New York Stock Exchange
AER,AerCap Holdings NV,New York Stock Exchange
GTN,Gray Television Inc,New York Stock Exchange
CDE,Coeur Mining Inc,New York Stock Exchange
NCR,NCR Corp,New York Stock Exchange
AMT,American Tower Corp,New York Stock Exchange
PSTG,Pure Storage Inc,New York Stock Exchange
VRX,Valeant Pharmaceuticals International Inc.,New York Stock Exchange
SJM,J M Smucker Co,New York Stock Exchange
ETN,Eaton Corporation PLC,New York Stock Exchange
DUK,Duke Energy Corp,New York Stock Exchange
CL,Colgate-Palmolive Co,New York Stock Exchange
KAR,KAR Auction Services Inc,New York Stock Exchange
NEE,Nextera Energy Inc,New York Stock Exchange
PXD,Pioneer Natural Resources Co,New York Stock Exchange
ADM,Archer-Daniels-Midland Co,New York Stock Exchange
VTR,Ventas Inc,New York Stock Exchange
VMW,VMware Inc,New York Stock Exchange
DKS,Dick's Sporting Goods Inc,New York Stock Exchange
WTI,W&T Offshore Inc,New York Stock Exchange
CE,Celanese Corp,New York Stock Exchange
HUN,Huntsman Corp,New York Stock Exchange
CSTM,Constellium SE,New York Stock Exchange
VER,VEREIT Inc,New York Stock Exchange
GPK,Graphic Packaging Holding Co,New York Stock Exchange
WELL,Welltower Inc,New York Stock Exchange
TJX,TJX Companies Inc,New York Stock Exchange
PLD,Prologis Inc,New York Stock Exchange
KSS,Kohls Corp,New York Stock Exchange
XEC,Cimarex Energy Co,New York Stock Exchange
DRI,Darden Restaurants Inc,New York Stock Exchange
ATI,Allegheny Technologies Inc,New York Stock Exchange
IAG,Iamgold Corp,New York Stock Exchange
VFC,VF Corp,New York Stock Exchange
BDN,Brandywine Realty Trust,New York Stock Exchange
HON,Honeywell International Inc,New York Stock Exchange
USG,USG Corporation,New York Stock Exchange
ICE,Intercontinental Exchange Inc,New York Stock Exchange
WY,Weyerhaeuser Co,New York Stock Exchange
BLL,Ball Corp,New York Stock Exchange
IVZ,Invesco Ltd,New York Stock Exchange
DG,Dollar General Corp,New York Stock Exchange
SID,Companhia Siderúrgica Nacional,New York Stock Exchange
SLCA,U.S. Silica Holdings Inc,New York Stock Exchange
SGU,Star Group LP,New York Stock Exchange
PK,Park Hotels & Resorts Inc,New York Stock Exchange
TOL,Toll Brothers Inc,New York Stock Exchange
BCO,Brinks Co,New York Stock Exchange
BKD,Brookdale Senior Living Inc,New York Stock Exchange
AIV,Apartment Investment and Management Co,New York Stock Exchange
TAP,Molson Coors Beverage Co,New York Stock Exchange
MON,Monsanto Company,New York Stock Exchange
UNP,Union Pacific Corp,New York Stock Exchange
BDX,Becton Dickinson and Co,New York Stock Exchange
GME,GameStop Corp,New York Stock Exchange
MX,MagnaChip Semiconductor Corp,New York Stock Exchange
RLJ,RLJ Lodging Trust,New York Stock Exchange
LB,L Brands Inc,New York Stock Exchange
NCLH,Norwegian Cruise Line Holdings Ltd,New York Stock Exchange
NOV,National Oilwell Varco Inc,New York Stock Exchange
LMT,Lockheed Martin Corp,New York Stock Exchange
MTZ,MasTec Inc,New York Stock Exchange
GPS,Gap Inc,New York Stock Exchange
SYY,Sysco Corp,New York Stock Exchange
WDR,Waddell & Reed Financial Inc,New York Stock Exchange
FTV,Fortive Corp,New York Stock Exchange
BKI,Black Knight Inc,New York Stock Exchange
EIX,Edison International,New York Stock Exchange
CPE,Callon Petroleum Co,New York Stock Exchange
CF,CF Industries Holdings Inc,New York Stock Exchange
PNC,PNC Financial Services Group Inc,New York Stock Exchange
WIT,Wipro Limited,New York Stock Exchange
LYB,LyondellBasell Industries NV,New York Stock Exchange
MGA,Magna International Inc,New York Stock Exchange
AEO,American Eagle Outfitters Inc,New York Stock Exchange
BP,BP p.l.c.,New York Stock Exchange
VVV,Valvoline Inc,New York Stock Exchange
UPS,United Parcel Service Inc,New York Stock Exchange
MUR,Murphy Oil Corp,New York Stock Exchange
VMC,Vulcan Materials Co,New York Stock Exchange
NOMD,Nomad Foods Ltd,New York Stock Exchange
ANTM,Anthem Inc,New York Stock Exchange
PAY,Verifone Systems Inc.,New York Stock Exchange
GD,General Dynamics Corp,New York Stock Exchange
KIM,Kimco Realty Corp,New York Stock Exchange
FNF,Fidelity National Financial Inc,New York Stock Exchange
BXMT,Blackstone Mortgage Trust Inc,New York Stock Exchange
CHD,Church & Dwight Co Inc,New York Stock Exchange
DLR,Digital Realty Trust Inc,New York Stock Exchange
IP,International Paper Co,New York Stock Exchange
CLI,Mack-Cali Realty Corp,New York Stock Exchange
SE,Sea Ltd,New York Stock Exchange
CC,Chemours Co,New York Stock Exchange
DAN,Dana Inc,New York Stock Exchange
ZBH,Zimmer Biomet Holdings Inc,New York Stock Exchange
LPX,Louisiana-Pacific Corp,New York Stock Exchange
BBY,Best Buy Co Inc,New York Stock Exchange
GRUB,GrubHub Inc,New York Stock Exchange
BG,Bunge Ltd,New York Stock Exchange
LC,LendingClub Corp,New York Stock Exchange
PWR,Quanta Services Inc,New York Stock Exchange
RDC,Rowan Companies plc Class A,New York Stock Exchange
NEM,Newmont Corporation,New York Stock Exchange
BEN,Franklin Resources Inc,New York Stock Exchange
SHLX,Shell Midstream Partners LP,New York Stock Exchange
CIVI,Civitas Solutions Inc.,New York Stock Exchange
PBH,Prestige Consumer Healthcare Inc,New York Stock Exchange
SBH,Sally Beauty Holdings Inc,New York Stock Exchange
NI,NiSource Inc,New York Stock Exchange
LLY,Eli Lilly and Co,New York Stock Exchange
STNG,Scorpio Tankers Inc,New York Stock Exchange
LADR,Ladder Capital Corp,New York Stock Exchange
FHN,First Horizon National Corp,New York Stock Exchange
DVMT,Dell Technologies Inc. Class V,New York Stock Exchange
HLX,Helix Energy Solutions Group Inc,New York Stock Exchange
RSG,Republic Services Inc,New York Stock Exchange
BIG,Big Lots Inc,New York Stock Exchange
CYH,Community Health Systems Inc,New York Stock Exchange
PAYC,Paycom Software Inc,New York Stock Exchange
GCP,GCP Applied Technologies Inc,New York Stock Exchange
YUM,Yum! Brands Inc,New York Stock Exchange
STZ,Constellation Brands Inc,New York Stock Exchange
LYG,Lloyds Banking Group Plc American Depositary Shares,New York Stock Exchange
USFD,US Foods Holding Corp,New York Stock Exchange
THC,Tenet Healthcare Corp,New York Stock Exchange
DOC,Physicians Realty Trust,New York Stock Exchange
ALLY,Ally Financial Inc,New York Stock Exchange
EVR,Evercore Inc,New York Stock Exchange
CMS,CMS Energy Corp,New York Stock Exchange
RIO,Rio Tinto Plc,New York Stock Exchange
PDM,Piedmont Office Realty Trust Inc,New York Stock Exchange
KMT,Kennametal Inc,New York Stock Exchange
HP,Helmerich and Payne Inc,New York Stock Exchange
FLR,Fluor Corp,New York Stock Exchange
JHG,Janus Henderson Group PLC,New York Stock Exchange
FDX,FedEx Corp,New York Stock Exchange
EMN,Eastman Chemical Co,New York Stock Exchange
WU,Western Union Co,New York Stock Exchange
BAX,Baxter International Inc,New York Stock Exchange
CARS,Cars.com Inc,New York Stock Exchange
TEL,TE Connectivity Ltd,New York Stock Exchange
MLM,Martin Marietta Materials Inc,New York Stock Exchange
GWW,W W Grainger Inc,New York Stock Exchange
PBF,PBF Energy Inc,New York Stock Exchange
BW,Babcock & Wilcox Enterprises Inc,New York Stock Exchange
CMI,Cummins Inc,New York Stock Exchange
CNQ,Canadian Natural Resources Ltd,New York Stock Exchange
HCA,HCA Healthcare Inc,New York Stock Exchange
QTS,QTS Realty Trust Inc,New York Stock Exchange
SAN,Banco Santander S.A. Sponsored ADR (Spain),New York Stock Exchange
CNHI,CNH Industrial NV,New York Stock Exchange
CNX,CNX Resources Corp,New York Stock Exchange
INFO,IHS Markit Ltd,New York Stock Exchange
ES,Eversource Energy,New York Stock Exchange
ARMK,Aramark,New York Stock Exchange
OII,Oceaneering International Inc,New York Stock Exchange
NOW,ServiceNow Inc,New York Stock Exchange
APTV,Aptiv PLC,New York Stock Exchange
QD,Qudian Inc,New York Stock Exchange
NSC,Norfolk Southern Corp,New York Stock Exchange
PSX,Phillips 66,New York Stock Exchange
GAB,Gabelli Equity Trust Inc,New York Stock Exchange
PNW,Pinnacle West Capital Corp,New York Stock Exchange
AMH,American Homes 4 Rent,New York Stock Exchange
FOE,Ferro Corp,New York Stock Exchange
A,Agilent Technologies Inc,New York Stock Exchange
MOS,Mosaic Co,New York Stock Exchange
CTB,Cooper Tire & Rubber Co,New York Stock Exchange
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,New York Stock Exchange
SKX,Skechers USA Inc,New York Stock Exchange
HST,Host Hotels & Resorts Inc,New York Stock Exchange
UE,Urban Edge Properties,New York Stock Exchange
PHM,Pultegroup Inc,New York Stock Exchange
MT,Arcelor Mittal NY Registry Shares NEW,New York Stock Exchange
CAAP,Corporacion America Airports SA,New York Stock Exchange
WRE,Washington Real Estate Investment Trust,New York Stock Exchange
RRC,Range Resources Corp,New York Stock Exchange
FL,Foot Locker Inc,New York Stock Exchange
AGO,Assured Guaranty Ltd,New York Stock Exchange
DRE,Duke Realty Corp,New York Stock Exchange
CCJ,Cameco Corp,New York Stock Exchange
AXTA,Axalta Coating Systems Ltd,New York Stock Exchange
AEM,Agnico Eagle Mines Ltd,New York Stock Exchange
BB,BlackBerry Ltd,New York Stock Exchange
CB,Chubb Ltd,New York Stock Exchange
PRU,Prudential Financial Inc,New York Stock Exchange
PVG,Pretium Resources Inc,New York Stock Exchange
AVYA,Avaya Holdings Corp,New York Stock Exchange
SC,Santander Consumer USA Holdings Inc,New York Stock Exchange
ANF,Abercrombie & Fitch Co,New York Stock Exchange
HIG,Hartford Financial Services Group Inc,New York Stock Exchange
ITW,Illinois Tool Works Inc,New York Stock Exchange
